,price,living_rooms,bedrooms,bathrooms,town_city,outward_code,property_type,desc
394,25567.0,2.0,3.0,3.0,London,W1K,flat,three bedroom apartment in an exceptional high specification landmark development in the heart of north mayfair location duke street is conveniently located for the green spaces of grosvenor
395,25567.0,1.0,3.0,3.0,London,W1K,flat,this newly furnished three bedroom three bathroom penthouse apartment is on the third fourth and fifth floors of a prominent building on the corner of green street and north audley street
396,25567.0,1.0,3.0,3.0,London,W1K,flat,this unique apartment comprises  double bedrooms with fitted in wardrobes  bathroom  en suites large reception room fully equipped kitchen with dining area seperate utility room and
397,25567.0,1.0,3.0,3.0,London,W1K,flat,this modern three bedroom lateral apartment is situated on the first floor within this six storey grade ii listed conversion it occupies a floor plate of approximately  square feet the
398,25567.0,1.0,3.0,3.0,London,W1K,flat,a modern newly refurbished  bedroom  bathroom st floor apartment of approximately  sq ft sq m situated in this attractive refurbished period building in the heart of mayfair
399,25567.0,2.0,3.0,4.0,London,W1K,flat,a modern newly refurbished  bedroom  bathroom st floor apartment of approximately  sq ft sq m situated in this attractive refurbished period building in the heart of mayfair
400,25567.0,1.0,3.0,3.0,London,W1K,flat,oig real estate are delighted to present this three bedroom three bathroom located in one of londons most sought after locations the property benefits from a modern interior throughout
401,25567.0,1.0,2.0,2.0,London,W1K,flat,zero deposit available long let this stunning double en suite apartment in mayfair boasts a beautiful and contemporary interior with modern fittings throughout the property offers a
402,25567.0,1.0,3.0,3.0,London,W1K,flat,a spacious three bedroom apartment situated on the first floor of this grade ll listed building located a short walk from the open spaces of hyde park bond street station and the many
403,25567.0,1.0,3.0,3.0,London,W1K,flat,a beautiful threebedroom apartment in the heart of mayfair moments from hyde park uk sothebys international realty proudly presents this beautifully refurbished first floor threebedroom
404,25567.0,1.0,3.0,2.0,London,W1K,flat,a three bedroom penthouse situated over the third fourth and fifth floors of this attractive refurbished period building ideally located within walking distances of hyde park shopping
405,25000.0,10.0,12.0,10.0,Bedfordshire,NN29,land,main house hinwick house is approached either from the northern boundary through automated iron gates or through the park to the south leading to a gravel drive at the eastern elevation of
406,24917.0,1.0,1.0,1.0,London,W1D,flat,this stunning fourth floor apartment has been individually designed and furnished by award winning designer kit kemp it is light and airy with floor to ceiling windows beautiful oak floors
407,24917.0,1.0,2.0,3.0,London,W1J,flat,security at its best this extraordinary apartment is located on the third floor of this exclusive development situated moments from green park the apartment benefits from a concierge
408,24707.0,1.0,3.0,1.0,London,W2,flat, ready for livingfully furnished beds and bedding linen cutlery towels wifiall inclusive from bills to a weekly cleanstaytotheday  no fixed contractsendtoend servicededicated
409,24700.0,3.0,7.0,7.0,London,SW7,terraced house,this lovely  bedroom house and  reception rooms are located within short walking distance to all amenities and shops in south kensington the accommodation includes dining room gym
410,24700.0,2.0,3.0,3.0,London,W1K,flat,offers welcome superbly well presented  bedroom luxury apartment in the exclusive  duke st boutique apartment building in mayfair  min walk from selfridges this elegant first floor apartment benefits from a large living room connected to an
411,24599.0,1.0,3.0,2.0,London,W2,triplex, ready for livingfully furnished beds and bedding linen cutlery towels wifiall inclusive from bills to a weekly cleanstaytotheday  no fixed contractsendtoend servicededicated
412,24571.0,1.0,2.0,2.0,London,W1D,flat, ready for livingfully furnished beds and bedding linen cutlery towels wifiall inclusive from bills to a weekly cleanstaytotheday  no fixed contractsendtoend servicededicated
413,24305.0,1.0,3.0,4.0,London,W2,flat, ready for livingfully furnished beds and bedding linen cutlery towels wifiall inclusive from bills to a weekly cleanstaytotheday  no fixed contractsendtoend servicededicated
414,24267.0,1.0,3.0,2.0,London,SW1A,flat,very spacious  bedroom apartment in arlington house located just off piccadilly not far from exclusive mayfair area facilities include a  hour reception communal courtyard and stunning
415,24267.0,1.0,2.0,2.0,London,W1J,flat,a spacious  hours serviced apartment in the heart of mayfair sothebys international realty offer this spacious two bedroom serviced duplex apartment on hertford street this townhouse has
416,24090.0,1.0,3.0,4.0,London,W1J,flat, ready for livingfully furnished beds and bedding linen cutlery towels wifiall inclusive from bills to a weekly cleanstaytotheday  no fixed contractsendtoend servicededicated
417,23833.0,1.0,4.0,4.0,London,SW6,flat,a magnificent  bedroom duplex penthouse apartment in waterside tower fulham sw available to let through knight frank battersea  riverside spread over two floors this unique apartment
418,23833.0,1.0,6.0,5.0,London,W14,detached house,taking ownership of four grand floors of a traditional notting hill townhouse is this wonderful contemporary sixbedroom home this spectacular space is bursting with life throughout from
419,23833.0,3.0,5.0,5.0,London,SW3,property,an imposing large family house split over five floors and located on a prestigious knightsbridge street moments from brompton cross boasting period character throughout and high ceilings on the ground and first floors this impressive family house
420,23833.0,1.0,5.0,4.0,London,SW5,property,short let  holiday let a stunning five bedroom mews house with private patio available for short lets of a week or more sleeps   in a convenient location in earls court the house is
421,25567.0,1.0,3.0,3.0,London,W1U,flat,an exceptional three bedroom north west facing lateral apartment set within a victorian red brick grade ii listed building in the heart of mayfair located on the st floor and is set over  sq ft is now available the apartment comprises a grand
422,25567.0,1.0,3.0,3.0,London,W1K,flat,newly furnished three bedroom apartment to rent in mayfair with its modern furniture and elegant décor the property is finished to the highest of standards this spacious apartment
423,25567.0,1.0,3.0,3.0,London,W1K,flat,a spacious three bedroom apartment situated on the first floor of this grade ll listed building located a short walk from the open spaces of hyde park bond street station and the many
424,25567.0,1.0,3.0,3.0,London,W1K,flat,a beautiful threebedroom apartment in the heart of mayfair moments from hyde park uk sothebys international realty proudly presents this beautifully refurbished first floor threebedroom
425,25567.0,1.0,5.0,5.0,London,SW1X,property,immaculate five bedroom house now available in belgravia benefiting from five good sized double bedrooms all with ensuite bathrooms guest cloakroom modern fully fitted kitchen and
426,25567.0,2.0,3.0,3.0,London,W1K,triplex,an outstanding  bedroom triplex apartment extending to approximately  square feet that has been finished to a very high standard throughout offering fantastic space and light comfort cooling marble bathrooms underfloor heating and private
427,25567.0,1.0,3.0,3.0,London,W1U,flat,a luxurious newly refurbished  bedroom apartement set within a victorian red brick grade ii listed building in the heart of mayfair the apartment comprises a spacious reception room offering an elegant living and entertaining space a modern well
