,price,living_rooms,bedrooms,bathrooms,town_city,outward_code,property_type,tags
394,25567.0,2.0,3.0,3.0,London,W1K,flat,located
395,25567.0,1.0,3.0,3.0,London,W1K,flat,furnished
396,25567.0,1.0,3.0,3.0,London,W1K,flat,none
397,25567.0,1.0,3.0,3.0,London,W1K,flat,modern
398,25567.0,1.0,3.0,3.0,London,W1K,flat,refurbished
399,25567.0,2.0,3.0,4.0,London,W1K,flat,refurbished
400,25567.0,1.0,3.0,3.0,London,W1K,flat,modern
401,25567.0,1.0,2.0,2.0,London,W1K,flat,modern
402,25567.0,1.0,3.0,3.0,London,W1K,flat,spacious
403,25567.0,1.0,3.0,3.0,London,W1K,flat,refurbished
404,25567.0,1.0,3.0,2.0,London,W1K,flat,refurbished
405,25000.0,10.0,12.0,10.0,Bedfordshire,NN29,land,none
406,24917.0,1.0,1.0,1.0,London,W1D,flat,furnished
407,24917.0,1.0,2.0,3.0,London,W1J,flat,located
408,24707.0,1.0,3.0,1.0,London,W2,flat,furnished
409,24700.0,3.0,7.0,7.0,London,SW7,terraced house,located
410,24700.0,2.0,3.0,3.0,London,W1K,flat,none
411,24599.0,1.0,3.0,2.0,London,W2,triplex,furnished
412,24571.0,1.0,2.0,2.0,London,W1D,flat,furnished
413,24305.0,1.0,3.0,4.0,London,W2,flat,furnished
414,24267.0,1.0,3.0,2.0,London,SW1A,flat,spacious
415,24267.0,1.0,2.0,2.0,London,W1J,flat,serviced
416,24090.0,1.0,3.0,4.0,London,W1J,flat,furnished
417,23833.0,1.0,4.0,4.0,London,SW6,flat,none
418,23833.0,1.0,6.0,5.0,London,W14,detached house,none
419,23833.0,3.0,5.0,5.0,London,SW3,property,family
420,23833.0,1.0,5.0,4.0,London,SW5,property,short let
421,25567.0,1.0,3.0,3.0,London,W1U,flat,located
422,25567.0,1.0,3.0,3.0,London,W1K,flat,furnished
423,25567.0,1.0,3.0,3.0,London,W1K,flat,spacious
424,25567.0,1.0,3.0,3.0,London,W1K,flat,refurbished
425,25567.0,1.0,5.0,5.0,London,SW1X,property,modern
426,25567.0,2.0,3.0,3.0,London,W1K,triplex,none
427,25567.0,1.0,3.0,3.0,London,W1U,flat,refurbished
428,25567.0,1.0,3.0,2.0,London,W1K,flat,refurbished
429,25567.0,1.0,3.0,3.0,London,W1K,flat,none
430,25567.0,2.0,3.0,4.0,London,W1K,flat,none
431,25567.0,1.0,3.0,3.0,London,W1K,flat,none
432,25567.0,1.0,3.0,3.0,London,W1K,flat,none
433,25350.0,1.0,3.0,3.0,London,W1K,flat,located
434,25350.0,1.0,2.0,3.0,London,W1K,flat,none
435,25000.0,6.0,6.0,8.0,Romford,RM4,detached house,modern
436,25000.0,11.0,11.0,11.0,London,W8,flat,none
437,23833.0,1.0,6.0,5.0,London,W14,detached house,none
438,23833.0,1.0,3.0,3.0,London,W8,flat,located
439,23833.0,3.0,5.0,4.0,London,NW8,property,modernised
440,23833.0,2.0,3.0,4.0,London,SW1X,flat,family
441,23833.0,1.0,7.0,4.0,London,W14,terraced house,refurbished
442,23818.0,1.0,2.0,2.0,London,W1T,triplex,furnished
443,23660.0,1.0,3.0,3.0,London,SW7,flat,furnished
444,23400.0,2.0,4.0,4.0,London,SW1X,property,none
445,23370.0,1.0,3.0,2.0,London,SW7,town house,furnished
446,23183.0,1.0,1.0,1.0,London,W1D,flat,furnished
447,23109.0,1.0,5.0,4.0,London,W2,town house,furnished
448,22750.0,1.0,3.0,2.0,London,SW3,flat,serviced
449,22750.0,4.0,6.0,7.0,London,SW3,property,garden
450,22750.0,3.0,5.0,6.0,London,SW3,property,family
451,22504.0,1.0,8.0,4.0,London,SW17,town house,furnished
452,22501.0,1.0,8.0,6.0,London,SW16,town house,furnished
453,22472.0,1.0,7.0,5.0,London,SE25,flat,furnished
454,22255.0,1.0,3.0,2.0,London,W2,flat,furnished
455,22194.0,1.0,5.0,5.0,London,SW6,town house,furnished
456,22171.0,1.0,4.0,4.0,London,SW6,flat,furnished
457,22161.0,6.0,8.0,8.0,London,NW7,triplex,garden
458,22100.0,1.0,3.0,3.0,London,W1U,flat,refurbished
459,22078.0,1.0,3.0,2.0,London,W2,flat,furnished
460,22000.0,4.0,7.0,5.0,Richmond,TW9,detached house,family
461,22000.0,5.0,8.0,8.0,London,TW9,detached house,garden
462,22000.0,7.0,9.0,11.0,Berkshire,RG10,detached house,none
463,22000.0,2.0,4.0,3.0,Manchester,M3,flat,none
464,22000.0,9.0,12.0,12.0,Reading,RG10,property,none
465,21980.0,1.0,2.0,2.0,London,W2,flat,furnished
466,21927.0,1.0,3.0,3.0,London,W1K,flat,none
467,21927.0,1.0,3.0,3.0,London,W1K,flat,refurbished
468,21927.0,1.0,3.0,3.0,London,W1K,flat,refurbished
469,21927.0,1.0,3.0,3.0,London,W1K,flat,refurbished
470,21927.0,1.0,3.0,3.0,London,W1K,flat,spacious
471,21927.0,2.0,3.0,3.0,London,W1K,flat,located
472,21927.0,1.0,3.0,3.0,London,W1K,flat,refurbished
473,21783.0,1.0,2.0,2.0,London,W8,duplex,furnished
474,21750.0,1.0,2.0,2.0,London,W1J,flat,furnished
475,21667.0,2.0,3.0,3.0,London,W1J,flat,located
476,21667.0,2.0,4.0,3.0,London,NW3,semi-detached house,garden
477,21667.0,4.0,4.0,4.0,London,SW1W,property,family
478,21667.0,2.0,2.0,2.0,London,SW1E,flat,none
479,21667.0,1.0,3.0,2.0,London,SW7,flat,spacious
480,21667.0,1.0,4.0,3.0,London,SW1A,flat,spacious
481,21667.0,4.0,4.0,4.0,London,SW1A,flat,located
482,21667.0,2.0,4.0,3.0,London,NW8,flat,short let
483,21667.0,1.0,3.0,3.0,London,W1K,maisonette,short let
484,21667.0,1.0,2.0,2.0,London,W1J,flat,serviced
485,21667.0,2.0,4.0,4.0,London,NW1,flat,none
486,21667.0,1.0,3.0,3.0,London,W14,flat,none
487,21667.0,1.0,4.0,4.0,London,SW1A,flat,none
488,21667.0,2.0,4.0,2.0,London,NW3,property,furnished
489,21667.0,2.0,2.0,2.0,London,SW1E,flat,none
490,21667.0,1.0,3.0,3.0,London,W1K,maisonette,short let
491,21667.0,6.0,5.0,4.0,London,W8,property,garden
492,21667.0,1.0,4.0,3.0,London,SW1A,flat,spacious
493,21667.0,2.0,4.0,3.0,London,NW8,flat,short let
494,21667.0,4.0,4.0,4.0,London,SW1A,flat,located
495,21667.0,1.0,3.0,3.0,London,N2,flat,none
496,21667.0,1.0,3.0,3.0,London,W8,flat,none
497,21667.0,1.0,3.0,2.0,London,SW7,flat,spacious
498,21667.0,2.0,4.0,4.0,London,W8,property,refurbished
499,21645.0,1.0,4.0,3.0,London,WC2E,flat,garden
500,21645.0,2.0,4.0,3.0,London,WC2E,terraced house,garden
501,21580.0,1.0,4.0,4.0,London,W8,flat,garden
502,21537.0,1.0,2.0,2.0,London,SW7,flat,serviced
503,21537.0,1.0,2.0,3.0,London,W8,flat,serviced
504,21467.0,1.0,2.0,2.0,London,W1D,flat,furnished
505,21450.0,2.0,5.0,5.0,London,SW1E,flat,refurbished
506,21450.0,2.0,5.0,4.0,London,SW1E,flat,none
507,21450.0,1.0,1.0,1.0,London,SW1X,flat,none
508,21450.0,3.0,5.0,5.0,London,SW1E,flat,garage
509,21450.0,5.0,5.0,5.0,London,SW1E,flat,none
510,21450.0,2.0,4.0,3.0,London,SW3,flat,spacious
511,21450.0,1.0,3.0,3.0,London,SW1X,flat,none
512,21450.0,1.0,3.0,3.0,London,SW7,flat,garden
513,21249.0,1.0,2.0,2.0,London,SW7,flat,furnished
514,21233.0,2.0,3.0,3.0,London,W1K,flat,refurbished
515,21233.0,1.0,3.0,3.0,London,W1K,flat,refurbished
516,21233.0,1.0,3.0,3.0,London,W1K,flat,none
517,21233.0,1.0,2.0,3.0,London,SW7,flat,short let
518,21233.0,1.0,3.0,3.0,London,W1K,flat,refurbished
519,21233.0,1.0,3.0,3.0,London,W1K,flat,refurbished
520,21233.0,1.0,4.0,3.0,London,W1K,flat,none
521,21233.0,1.0,3.0,2.0,London,W1J,flat,refurbished
522,21233.0,3.0,3.0,4.0,London,SW1A,flat,none
523,21233.0,1.0,3.0,3.0,London,W1K,flat,refurbished
524,20150.0,1.0,3.0,2.0,London,W1J,flat,serviced
525,19998.0,2.0,6.0,4.0,London,NW3,property,family
526,20000.0,2.0,5.0,4.0,London,SW19,detached house,short let
527,20000.0,3.0,13.0,7.0,North,TA7,property,none
528,20000.0,5.0,7.0,7.0,Surrey KT16,KT16,detached house,modern
529,19933.0,4.0,6.0,6.0,London,NW3,property,located
530,19933.0,5.0,6.0,6.0,London,NW3,property,family
531,19933.0,4.0,6.0,4.0,London,NW3,detached house,family
532,19933.0,3.0,6.0,6.0,London,NW3,detached house,family
533,19912.0,3.0,6.0,4.0,London,NW8,detached house,garden
534,19890.0,2.0,6.0,3.0,London,NW8,detached house,none
535,19890.0,1.0,5.0,5.0,London,NW8,detached house,none
536,21103.0,1.0,2.0,2.0,London,W1K,flat,short let
537,21017.0,1.0,4.0,4.0,London,SW7,flat,long let
538,20800.0,1.0,3.0,3.0,London,W1K,flat,refurbished
539,20800.0,4.0,5.0,4.0,London,W8,detached house,family
540,20752.0,1.0,2.0,1.0,London,W2,flat,furnished
541,20593.0,1.0,4.0,4.0,London,W9,flat,furnished
542,20583.0,2.0,5.0,3.0,London,NW8,semi-detached house,family
543,20583.0,2.0,4.0,4.0,London,SW7,flat,none
544,20583.0,3.0,5.0,4.0,London,W11,terraced house,garden
545,20583.0,2.0,4.0,4.0,London,SW7,flat,refurbished
546,20578.0,1.0,2.0,2.0,London,W1F,duplex,furnished
547,20537.0,1.0,4.0,2.0,London,SW3,town house,furnished
548,20460.0,1.0,4.0,4.0,London,W1K,flat,serviced
549,20172.0,1.0,2.0,2.0,London,W1K,flat,short let
550,17333.0,1.0,3.0,3.0,London,SW1A,flat,none
551,17333.0,2.0,4.0,4.0,London,SW1W,property,garden
