bathrooms,bedrooms,desc,living_rooms,postcode,price,property_type,town_city
1,1,"Set on the site of the former Nestle Factory Barratt homes have built over 1,300 homes as part of an area undergoing significant regeneration in Hayes. With Crossrail set to serve Hayes & ...",1,UB3,"346,000",flat -,Hayes
4,3,"100% Ready For LivingFully furnished: Beds and bedding, linen, cutlery, towels, wifi…All inclusive: From bills to a weekly cleanStay-to-the-day – no fixed contractsEnd-To-End ServiceDedicated ...",1,SW6,"343,886",flat,London
2,2,Oliver James are proud to offer this modern penthouse apartment in Mayfair occupying the top floor of this iconic building with panoramic views overlooking Hyde Park... With your own host ...,,W1K,POA,flat,London
5,5,"Stunning Newly Developed Purpose Built Top Floor Five Bedroom Penthouse, With Wrap-Around Terrace Providing Stunning Hyde Park Views, Located In This Much Sought-After 24h Portered Building ...",,W1K,"281,667",flat,London
4,4,Oliver James are pleased to offer this ultra luxurious penthouse situated in London's exclusive Park Lane. The 3991 sq. Ft. Four bedroom penthouse apartment comprises of four large double ...,3,W1K,"260,000",flat,London
1,2,"Oliver James are pleased to offer a specular private residence located just off Park Lane. Located on the 5th floor and commanding spectacular views over Hyde Park and Park Lane, the ...",2,W1J,"260,000",flat,London
6,6,"A glamorous six-bedroom house designed around an extraordinary collection of contemporary art. This stunning detached 1850s Chelsea property is spread over five floors, with lift and is ...",4,SW10,"238,333",detached house,London
5,5,Five bedroom luxury penthouse on Park Lane overlooking Hyde Park available for long let. Location Grosvenor House Suites by Jumeirah Living are ideally placed for easy access to locations ...,4,W1K,"196,950",flat,London
5,5,"The Grosvenor Penthouse offers unparallelled accommodation. The elegant Art Deco inspired study, dining and living rooms offer a showpiece setting for entertaining at home. Stunning views ...",3,W1K,"196,950",flat,London
5,5,Oliver James are pleased to offer this ultra luxurious penthouse situated in London's exclusive Park Lane. The 4822 sq. Ft. Five bedroom penthouse apartment comprises of five large double ...,4,W1K,"195,000",flat,London
,4,A luxury 5 bedroom penthouse apartments in this private residence together with the services of a luxury five-star hotel. The interior design combines classic finishes such as dark oak timber ...,,W1K,"192,617",flat,London
5,4,Luxury and spacious 4 bedroom / 5 bathroom apartment in London's most exclusive address on Park Lane in Mayfair. This property is fully furnished and ready to move in! Also including 2 ...,2,W1K,"192,400",flat,London
4,8,"100% Ready For LivingFully furnished: Beds and bedding, linen, cutlery, towels, wifi…All inclusive: From bills to a weekly cleanStay-to-the-day – no fixed contractsEnd-To-End ServiceDedicated ...",1,SW3,"191,670",town house,London
5,5,"The largest penthouse suite the Grosvenor Penthouse offers unparalleled accomodation, the Art Deco inspired study, dining and living rooms offers a show piece setting for entertaining at ...",,W1K,"189,800",flat,London
4,5,"The property has been extensively refurbished throughout and has 5 bedrooms, 4 bathrooms, 2 guest cloakrooms, 3 receptions rooms, 2 kitchens, terrace and a fantastic garden leading out from a ...",3,SW1W,"180,483",detached house,London
5,5,"Outstanding Newly Developed Purpose Built Top Floor Five Bedroom Penthouse, With Wrap-Around Terrace Providing Stunning Hyde Park Views, Located In This Exclusive, Secure 24h Portered ...",,W1K,"175,500",flat,London
3,2,"100% Ready For LivingFully furnished: Beds and bedding, linen, cutlery, towels, wifi…All inclusive: From bills to a weekly cleanStay-to-the-day – no fixed contractsEnd-To-End ServiceDedicated ...",1,SW1E,"174,240",flat,London
3,2,"100% Ready For LivingFully furnished: Beds and bedding, linen, cutlery, towels, wifi…All inclusive: From bills to a weekly cleanStay-to-the-day – no fixed contractsEnd-To-End ServiceDedicated ...",1,SW1E,"174,240",flat,London
6,7,"Outstanding Seven Bedrooms, Six Bathrooms Newly Refurbished Penthouse Located In This Secure ​Portered Building, Overlooking Directly Into Hyde Park (Terraces situated inside Hyde Park). ...",,SW1X,"173,333",flat,London
4,5,"This penthouse suite offers the luxury, discretion and security of a five star hotel whilst combining comfort and a personalised service. Available for both short let and long let. This ...",1,W1K,"173,333",flat,London
5,5,"Short let. A fully serviced apartment situated inside a luxurious modern five-star hotel located on Park Lane. Comprising of reception room, dining room, study leading onto a terrace with ...",4,W1K,"157,733",flat,London
9,9,Stunning White Georgian Stucco Fronted 19th Century Grade II Listed House Which Has Been Painstakingly Newly Refurbished To 21st Century Modern Living Standards. Internal Floor Area Spans An ...,,SW1E,"151,667",terraced house,London
5,5,The apartments are the epitome of British design chic whree home is nothing less than an elegant and refined experience complimented with the ultimate in privacy and discretion. Daily maid ...,1,W1K,POA,flat,London
6,6,"This striking property offers approximately 15,845 sq ft (1,472 sq m), the townhouse is arranged over seven floors, offering five reception rooms and six principal bedrooms as well as staff ...",4,SW1E,"151,667",terraced house,London
6,5,"Positioned on this historic, world famous street, Mayfair House is an exquisite, boutique development of lateral apartments, designed by Derek Williams Ltd and Finchatton. Location Situated ...",4,W1K,"151,667",flat,London
10,10,"Grand, Palatial low built wide detached Mansion house provides an ambassadorial entertaining space. Located in the Prime area of Belgravia, situated just off the north-west corner of Belgrave ...",2,SW1X,"151,667",detached house,London
4,5,Oliver James are pleased to offer this ultra luxurious penthouse situated in London's exclusive Park Lane. The 3964 sq. Ft. Five bedroom penthouse apartment comprises of five large double ...,,W1K,"138,667",flat,London
7,10,"Short let. Refurbished exquisitely, this fabulous house with heated outdoor pool is situated in the heart of Hampstead and benefits from lavish, contemporary styling in a period setting. The ...",4,NW3,"108,333",flat,London
5,6,A spectacular Grade II listed house refurbished and interior designed to a very high standard and specification directly overlooking Cadogan Place Gardens. Location Cadogan Place runs from ...,6,SW1X,"108,333",terraced house,London
4,4,"An exclusive luxury triplex in excess of 9,000 sq ft which has been interior designed to the very highest standard. The fixtures and fittings are bespoke and while having state of the art ...",2,SW1X,"108,333",property,London
5,5,"Beautiful Penthouse suite available on Park Lane next to the prestigious Dorchester Hotel. Five-Bedroom Penthouse Suites – are designed to the highest standards throughout, with stunning ...",3,W1K,"108,333",flat,London
5,4,Short let. Set in beautiful landscaped grounds this striking four bedroom chapel conversion offers the ultimate in bespoke and handcrafted interiors with a breathtaking full height living ...,1,NW7,"104,000",property,London
7,6,"100% Ready For LivingFully furnished: Beds and bedding, linen, cutlery, towels, wifi…All inclusive: From bills to a weekly cleanStay-to-the-day – no fixed contractsEnd-To-End ServiceDedicated ...",1,SW7,"95,450",town house,London
4,4,A fully serviced apartment situated inside a luxurious modern five-star hotel located on Park Lane. Comprising of an open plan kitchen/ reception/ dining room and four double bedrooms all ...,1,W1K,"95,333",flat,London
7,5,"A stunning 12,453 sq ft Georgian family residence in a sought-after location on Hamilton Terrace is available for rent Location With its village-like ambiance, elegant Regency and ...",3,NW8,"95,333",detached house,London
5,5,"A absolutely fantastic opportunity to rent this immaculate and luxury 5 bedroom penthouse in the heart of Knightsbridge. This spectacular, newly created penthouse apartment with 5 bedrooms ...",2,SW1X,"95,000",flat,London
4,4,"One bedroom luxury apartment on Park Lane, overlooking Hyde Park available. Images show a typical apartment. Location Grosvenor House Apartments are ideally placed for easy access to ...",1,W1K,POA,flat,London
1,2,"Ask Estate Agents welcomes to the to let market this two bedroom back to back having the advantage of gas central heating and double glazing. Accommodation briefly an entrance porch, lounge ...",1,LS9,"89,995",terraced house,Leeds
3,3,"100% Ready For LivingFully furnished: Beds and bedding, linen, cutlery, towels, wifi…All inclusive: From bills to a weekly cleanStay-to-the-day – no fixed contractsEnd-To-End ServiceDedicated ...",1,SW1E,"88,530",flat,London
7,7,"Short let - A stunning and newly renovated ambassadorial home set around this lovely garden square in the heart of South Kensington. Finished to the highest degree, this amazing house offers ...",5,SW7,"86,667",terraced house,London
1,1,"Set on the site of the former Nestle Factory Barratt homes have built over 1,300 homes as part of an area undergoing significant regeneration in Hayes. With Crossrail set to serve Hayes & ...",1,UB3,"346,000",flat -,Hayes
4,3,"100% Ready For LivingFully furnished: Beds and bedding, linen, cutlery, towels, wifi…All inclusive: From bills to a weekly cleanStay-to-the-day – no fixed contractsEnd-To-End ServiceDedicated ...",1,SW6,"343,886",flat,London
2,2,Oliver James are proud to offer this modern penthouse apartment in Mayfair occupying the top floor of this iconic building with panoramic views overlooking Hyde Park... With your own host ...,,W1K,POA,flat,London
5,5,"Stunning Newly Developed Purpose Built Top Floor Five Bedroom Penthouse, With Wrap-Around Terrace Providing Stunning Hyde Park Views, Located In This Much Sought-After 24h Portered Building ...",,W1K,"281,667",flat,London
4,4,Oliver James are pleased to offer this ultra luxurious penthouse situated in London's exclusive Park Lane. The 3991 sq. Ft. Four bedroom penthouse apartment comprises of four large double ...,3,W1K,"260,000",flat,London
1,2,"Oliver James are pleased to offer a specular private residence located just off Park Lane. Located on the 5th floor and commanding spectacular views over Hyde Park and Park Lane, the ...",2,W1J,"260,000",flat,London
6,6,"A glamorous six-bedroom house designed around an extraordinary collection of contemporary art. This stunning detached 1850s Chelsea property is spread over five floors, with lift and is ...",4,SW10,"238,333",detached house,London
5,5,Five bedroom luxury penthouse on Park Lane overlooking Hyde Park available for long let. Location Grosvenor House Suites by Jumeirah Living are ideally placed for easy access to locations ...,4,W1K,"196,950",flat,London
5,5,"The Grosvenor Penthouse offers unparallelled accommodation. The elegant Art Deco inspired study, dining and living rooms offer a showpiece setting for entertaining at home. Stunning views ...",3,W1K,"196,950",flat,London
5,5,Oliver James are pleased to offer this ultra luxurious penthouse situated in London's exclusive Park Lane. The 4822 sq. Ft. Five bedroom penthouse apartment comprises of five large double ...,4,W1K,"195,000",flat,London
,4,A luxury 5 bedroom penthouse apartments in this private residence together with the services of a luxury five-star hotel. The interior design combines classic finishes such as dark oak timber ...,,W1K,"192,617",flat,London
5,4,Luxury and spacious 4 bedroom / 5 bathroom apartment in London's most exclusive address on Park Lane in Mayfair. This property is fully furnished and ready to move in! Also including 2 ...,2,W1K,"192,400",flat,London
